"year","cgHeadId","cgPlaId","startDateEarly","startDateLate","endDateEarly","endDateLate","note"
2011,2011001100,5558,"2011-07-20","2011-07-24","2011-08-01","2011-08-04",
2011,2011001102,5558,"2011-08-01","2011-08-04","2011-08-01","2011-08-04",
2011,2011001103,5558,"2011-07-13","2011-07-13","2011-07-20","2011-07-24",
2011,2011001101,5558,"2011-07-18","2011-07-18","2011-07-26","2011-07-30",
2011,2011001104,5558,"2011-07-20","2011-07-24","2011-07-26","2011-07-30",
2011,2011001106,5559,"2011-07-18","2011-07-18","2011-07-26","2011-07-30",
2011,2011001105,5559,"2011-08-01","2011-08-04","2011-08-06","2011-08-10",
2011,2011001107,5560,"2011-07-14","2011-07-18","2011-07-26","2011-07-30",
2011,2011001108,5561,"2011-07-20","2011-07-24","2011-07-26","2011-07-30",
2011,2011001110,344,"2011-07-14","2011-07-18","2011-07-25","2011-07-25",
2011,2011001111,332,"2011-07-14","2011-07-18","2011-07-20","2011-07-24",
2011,2011001113,332,"2011-07-20","2011-07-24","2011-07-26","2011-07-30",
2011,2011001114,331,"2011-07-14","2011-07-18","2011-07-26","2011-07-30",
2011,2011001116,330,"2011-07-24","2011-07-24","2011-08-06","2011-08-10",
2011,2011001117,327,"2011-07-20","2011-07-24","2011-07-26","2011-07-30",
2011,2011001120,327,"2011-07-20","2011-07-24","2011-07-26","2011-07-30",
2011,2011001119,327,"2011-07-20","2011-07-24","2011-08-01","2011-08-04",
2011,2011001118,327,"2011-07-06","2011-07-06","2011-07-20","2011-07-24",
2011,2011001129,326,"2011-07-20","2011-07-24","2011-07-26","2011-07-30",
2011,2011001128,326,"2011-07-20","2011-07-24","2011-07-26","2011-07-30",
2011,2011001127,326,"2011-07-20","2011-07-24","2011-08-01","2011-08-04",
2011,2011001126,326,"2011-07-14","2011-07-18","2011-07-26","2011-07-30",
2011,2011001125,326,"2011-07-14","2011-07-18","2011-07-26","2011-07-30",
2011,2011001124,326,"2011-07-20","2011-07-24","2011-07-26","2011-07-30",
2011,2011001123,326,"2011-07-19","2011-07-19","2011-07-26","2011-07-30",
2011,2011001121,326,"2011-07-20","2011-07-24","2011-07-26","2011-07-30",
2011,2011001122,326,"2011-07-20","2011-07-24","2011-07-26","2011-07-30",
2011,2011001131,323,"2011-07-11","2011-07-11","2011-07-20","2011-07-24",
2011,2011001130,323,"2011-07-14","2011-07-18","2011-07-26","2011-07-30",
2011,2011001133,322,"2011-07-14","2011-07-18","2011-07-25","2011-07-25",
2011,2011001134,322,"2011-07-11","2011-07-11","2011-07-25","2011-07-25",
2011,2011001135,322,"2011-07-13","2011-07-13","2011-07-20","2011-07-24",
2011,2011001137,1190,"2011-07-20","2011-07-24","2011-08-01","2011-08-04",
2011,2011001140,1191,"2011-07-10","2011-07-10","2011-07-20","2011-07-24",
2011,2011001139,1191,"2011-07-14","2011-07-18","2011-07-26","2011-07-30",
2011,2011001138,1191,"2011-07-11","2011-07-11","2011-07-25","2011-07-25",
2011,2011001142,902,"2011-07-14","2011-07-18","2011-07-20","2011-07-24",
2011,2011001143,1142,"2011-07-14","2011-07-18","2011-07-26","2011-07-30",
